,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
58,Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Trinitario,Indonesia
59,Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3.0,"Criollo, Trinitario",Madagascar
60,Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3.0,Criollo,Peru
61,Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Trinitario,Dominican Republic
62,Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Forastero,Congo
63,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Trinitario,Colombia
64,Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Trinitario,Tanzania
65,Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Trinitario,Tanzania
66,Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Trinitario,Honduras
67,Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Trinitario,Philippines
68,Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Trinitario,Mexico
69,Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3.0,Forastero (Arriba),Ecuador
70,Bahen & Co.,Sambirano,995,2012,0.7,Australia,3.0,Trinitario,Madagascar
71,Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
72,Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar
73,Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
74,Belyzium,"Belize south, low fermentation",1768,2016,0.83,Germany,2.75,Trinitario,Belize
75,Belyzium,Belize south,1768,2016,0.78,Germany,3.0,Trinitario,Belize
76,Belyzium,Belize south,1768,2016,0.83,Germany,3.5,Trinitario,Belize
77,Benoit Nihant,Baracoa,1141,2013,0.74,Belgium,3.5,Trinitario,Cuba
78,Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela
79,Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela
80,Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4.0,Trinitario,Ecuador
81,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4.0,Trinitario,Indonesia
82,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,Belgium,3.75,Trinitario,Madagascar
83,Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3.0,Trinitario,Madagascar
84,Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3.0,Criollo,Venezuela
85,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,Switzerland,3.25,Trinitario,Venezuela
86,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Criollo (Porcelana),Venezuela
87,Bisou,Belize,1486,2015,0.86,U.S.A.,3.25,Trinitario,Belize
88,Bittersweet Origins,Ghana,963,2012,0.72,U.S.A.,3.5,Forastero,Ghana
89,Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
90,Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,U.S.A.,3.0,Trinitario,Madagascar
91,Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3.0,Criollo,Venezuela
92,Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Trinitario,Madagascar
93,Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Trinitario,Madagascar
94,Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3.0,Trinitario,Madagascar
95,Bittersweet Origins,Ankasa,256,2008,0.7,U.S.A.,3.0,Forastero,Ghana
96,Black Mountain,Carenero Superior,256,2008,0.7,U.S.A.,2.75,Trinitario,Venezuela
97,Black River (A. Morin),Blue Mountain Region,1331,2014,0.7,U.K.,2.75,Trinitario,Jamaica
98,Blanxart,"Congo, Grand Cru",1046,2013,0.82,Spain,3.5,Forastero,Congo
99,Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Trinitario,Madagascar
100,Blue Bandana,Madagascar,911,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar
101,Bonnat,Cuba,629,2011,0.75,France,3.5,Trinitario,Cuba
102,Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Forastero (Nacional),Peru
103,Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4.0,Criollo,Madagascar
104,Bonnat,Jamaique,761,2011,0.75,France,3.25,Trinitario,Jamaica
105,Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Criollo,Peru
106,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3.0,Criollo,Mexico
107,Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3.0,Criollo,Mexico
108,Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4.0,Criollo (Porcelana),Venezuela
109,Bonnat,Equateur,123,2007,0.75,France,2.5,Forastero (Arriba),Ecuador
110,Bonnat,Trinite,24,2006,0.75,France,3.75,Trinitario,Carribean
111,Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4.0,Criollo,Venezuela
112,Bonnat,Madagascar,75,2006,0.75,France,4.0,Trinitario,Madagascar
113,Bonnat,Chuao,81,2006,0.75,France,4.0,Trinitario,Venezuela
114,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,0.77,Ecuador,3.25,Forastero (Arriba),Ecuador
115,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,1.0,Ecuador,1.5,Forastero (Arriba),Ecuador
116,Bowler Man,Maya Mountain,1267,2014,0.7,U.S.A.,2.75,Trinitario,Belize
117,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,U.S.A.,3.5,Criollo,Venezuela
118,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,U.S.A.,3.75,Trinitario,Belize
119,Brasstown aka It's Chocolate,Chuao,1355,2014,0.7,U.S.A.,4.0,Trinitario,Venezuela
120,Brasstown aka It's Chocolate,Cooproagro,1125,2013,0.72,U.S.A.,3.0,Trinitario,Dominican Republic
121,Brasstown aka It's Chocolate,Ghana,1129,2013,0.75,U.S.A.,3.5,Forastero,Ghana
122,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,0.85,U.S.A.,3.5,Trinitario,Venezuela
123,Brazen,Maya Mountain,1518,2015,0.8,U.S.A.,3.25,Trinitario,Belize
124,Breeze Mill,Jamaica,1149,2013,0.7,U.S.A.,3.0,Trinitario,Jamaica
125,Bright,Somia Plantation,1231,2014,0.72,Australia,3.0,Trinitario,Madagascar
126,Bright,Gran Couva,1235,2014,0.68,Australia,2.75,Trinitario,Trinidad
127,Burnt Fork Bend,Trinidad,1299,2014,0.72,U.S.A.,3.25,Trinitario,Trinidad
128,Burnt Fork Bend,Belize,1303,2014,0.72,U.S.A.,3.25,Trinitario,Belize
129,Cacao Atlanta,Tumbes,1215,2014,0.75,U.S.A.,2.5,Criollo,Peru
130,Cacao Barry,Grand 'Anse,1716,2016,0.65,France,3.5,"Trinitario, Criollo",Haiti
131,Cacao de Origen,Chuao,1688,2015,0.77,Venezuela,3.5,Trinitario,Venezuela
132,Cacao de Origen,Rio Caribe,1692,2015,0.75,Venezuela,3.25,Trinitario,Venezuela
133,Cacao de Origen,"Chuao, Aragua region",1391,2014,0.75,Venezuela,3.5,Trinitario,Venezuela
134,Cacao de Origen,"Chuao, Aragua region",1395,2014,0.7,Venezuela,3.75,Trinitario,Venezuela
135,Cacao Market,"Jutiapa, lot 050916D",1860,2016,0.7,U.S.A.,3.5,Trinitario,Honduras
136,Cacao Prieto,"Criollo, Dominican Republic",991,2012,0.72,U.S.A.,3.75,Criollo,Dominican Republic
137,Cacao Sampaka,"Mahali, Kasai",1908,2016,0.7,Spain,3.5,Criollo,Congo
138,Cacao Sampaka,Madagascar,508,2010,0.71,Spain,3.5,Trinitario,Madagascar
139,Cacao Sampaka,Grenada,537,2010,0.71,Spain,3.25,Trinitario,Grenada
140,Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,0.7,Spain,4.0,Criollo,Mexico
141,Cacao Sampaka,"Xoconusco, Chiapas",346,2009,0.7,Spain,4.0,Criollo,Mexico
142,Cacao Store,Madagascar,1684,2015,0.7,Japan,3.0,Trinitario,Madagascar
143,Cacao Store,Vietnam,1684,2015,0.7,Japan,3.5,Trinitario,Vietnam
144,Cacaoyere (Ecuatoriana),Amazonia,237,2008,0.63,Ecuador,3.5,Forastero (Arriba),Ecuador
145,Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,0.71,Ecuador,3.5,Forastero (Arriba),Ecuador
146,Cacaoyere (Ecuatoriana),Bolivar,245,2008,0.82,Ecuador,2.5,Forastero (Arriba),Ecuador
147,Cacaoyere (Ecuatoriana),Pichincha,259,2008,0.91,Ecuador,1.5,Forastero (Arriba),Ecuador
148,Callebaut,Grenade,296,2008,0.6,Belgium,2.75,Trinitario,Grenada
149,C-Amaro,Sao Tome,749,2011,0.78,Italy,2.25,Forastero,Sao Tome
150,C-Amaro,Trinidad,765,2011,0.7,Italy,2.5,Trinitario,Trinidad
151,Cao,Porcelana,1804,2016,0.75,U.S.A.,2.5,Criollo,Venezuela
152,Cao,"Porcelana, Batch 5163",1804,2016,0.7,U.S.A.,3.0,Criollo,Venezuela
153,Cao,Brazil,1808,2016,0.7,U.S.A.,3.25,Trinitario,Brazil
154,Caoni (Tulicorp),Esmeraldas,237,2008,0.77,Ecuador,2.0,Forastero (Arriba),Ecuador
155,Caoni (Tulicorp),Manabi,237,2008,0.77,Ecuador,2.5,Forastero (Arriba),Ecuador
156,Caoni (Tulicorp),Los Rios,245,2008,0.77,Ecuador,2.75,Forastero (Arriba),Ecuador
157,Caoni (Tulicorp),Manabi,266,2008,0.55,Ecuador,3.0,Forastero (Arriba),Ecuador
158,Caoni (Tulicorp),Los Rios,269,2008,0.55,Ecuador,3.25,Forastero (Arriba),Ecuador
159,Caoni (Tulicorp),Esmeraldas,269,2008,0.55,Ecuador,3.5,Forastero (Arriba),Ecuador
160,Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,0.7,New Zealand,3.5,Trinitario,Papua New Guinea
161,Caribeans,Costa Rica,841,2012,0.72,Costa Rica,3.0,Forastero,Costa Rica
162,Caribeans,Costa Rica,845,2012,0.8,Costa Rica,2.75,Forastero,Costa Rica
163,Carlotta Chocolat,Arauca,1884,2016,0.65,Colombia,3.0,Trinitario,Colombia
164,Carlotta Chocolat,Tumaco,1888,2016,0.65,Colombia,3.25,Trinitario,Colombia
165,Carlotta Chocolat,Cordoba,1888,2016,0.65,Colombia,3.25,Trinitario,Colombia
166,Carlotta Chocolat,Huila,1888,2016,0.65,Colombia,3.5,Trinitario,Colombia
167,Carlotta Chocolat,Cesar,1888,2016,0.65,Colombia,3.5,CCN51,Colombia
168,Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,0.72,U.S.A.,4.0,Trinitario,Belize
169,Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,0.72,U.S.A.,3.5,Trinitario,Honduras
170,Castronovo,"Duarte, Batch 360",1570,2015,0.7,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
171,Castronovo,Sierra Nevada,1347,2014,0.72,U.S.A.,3.5,"Criollo, Trinitario",Colombia
172,Castronovo,Arauca,1371,2014,0.76,U.S.A.,3.5,"Criollo, Trinitario",Colombia
173,Castronovo,Elvesia P.,1407,2014,0.7,U.S.A.,2.75,Trinitario,Dominican Republic
174,Castronovo,Bolivia,1101,2013,0.7,U.S.A.,3.0,Trinitario,Bolivia
175,Castronovo,Conacado,1101,2013,0.73,U.S.A.,3.5,Trinitario,Dominican Republic
176,Castronovo,San Martin,1105,2013,0.7,U.S.A.,2.5,Criollo,Peru
177,Castronovo,Nicaragua,1109,2013,0.72,U.S.A.,3.25,Trinitario,Nicaragua
178,Castronovo,Tumbes,1153,2013,0.7,U.S.A.,2.75,Criollo,Peru
179,Chaleur B,Uganda,1426,2014,0.7,Canada,2.75,Forastero,Uganda
180,Chchukululu (Tulicorp),Arriba,486,2010,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
181,Chchukululu (Tulicorp),Los Rios,252,2008,0.75,Ecuador,3.0,Forastero (Arriba),Ecuador
182,Choco Del Sol,Maya Mountain w/ nibs,1407,2014,0.75,Germany,3.0,Trinitario,Belize
183,Choco Del Sol,Maya Mountain,1407,2014,0.82,Germany,3.25,Trinitario,Belize
184,Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,0.7,South Korea,2.75,Trinitario,Vietnam
185,Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,0.7,South Korea,3.5,Trinitario,Malaysia
186,Chocolarder,Peru,1482,2015,0.65,U.K.,2.5,Criollo,Peru
187,Chocolarder,Peru + nibs,1482,2015,0.65,U.K.,2.75,Criollo,Peru
188,Chocola'te,Madagascar,647,2011,0.7,U.S.A.,3.75,Trinitario,Madagascar
189,Chocolate Con Amor,Ocumare,1764,2016,0.8,U.S.A.,3.0,Criollo (Ocumare),Venezuela
190,Chocolate Makers,Tres Hombres,1530,2015,0.75,Amsterdam,3.25,Trinitario,Dominican Republic
191,Chocolate Makers,"Congo, Gorilla bar",1530,2015,0.68,Amsterdam,3.5,Forastero,Congo
192,Chocolate Makers,"Peru, Awagum bar",1530,2015,0.8,Amsterdam,3.75,Criollo,Peru
193,"Chocolate Tree, The",Maranon,1582,2015,0.69,Scotland,3.75,Forastero (Nacional),Peru
194,"Chocolate Tree, The",Carenero Superior,1582,2015,0.8,Scotland,3.75,Trinitario,Venezuela
195,"Chocolate Tree, The",Peru,1121,2013,0.7,Scotland,3.75,Forastero (Nacional),Peru
196,"Chocolate Tree, The",Ecuador,919,2012,0.82,Scotland,2.5,Forastero (Arriba),Ecuador
197,"Chocolate Tree, The",Peru,919,2012,0.68,Scotland,2.75,Criollo,Peru
198,"Chocolate Tree, The",Madagascar,919,2012,0.72,Scotland,3.25,Criollo,Madagascar
199,Chocolats Privilege,Xoconusco,1219,2014,0.7,Canada,2.5,Criollo,Mexico
200,ChocoReko,Patanemo,1454,2015,0.77,Japan,3.0,Criollo,Venezuela
201,Chocovic,Xoconusco,478,2010,0.71,Spain,3.25,Criollo,Mexico
202,Chocovic,Sambirano,478,2010,0.71,Spain,3.5,Trinitario,Madagascar
203,Chocovic,Ocumare,209,2008,0.71,Spain,3.5,Criollo,Venezuela
204,Chocovic,"Bolivar, Guaranda",117,2007,0.71,Spain,2.5,Forastero (Arriba),Ecuador
205,Chocovic,Guyave,117,2007,0.71,Spain,2.5,Trinitario,Grenada
206,Chocovivo,Tabasco,1522,2015,0.65,U.S.A.,2.5,Trinitario,Mexico
207,Chocovivo,Tabasco,1522,2015,0.75,U.S.A.,2.5,Trinitario,Mexico
208,Choklat,Ocumare,377,2009,0.8,Canada,2.5,Criollo,Venezuela
209,Choklat,"Porcelana, Tabasco",377,2009,0.7,Canada,2.75,Criollo,Mexico
210,Choklat,Ocumare,377,2009,0.7,Canada,3.0,Criollo,Venezuela
211,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,0.68,Canada,3.75,Forastero (Nacional),Peru
212,Chuao Chocolatier,Choroni,445,2009,0.61,U.S.A.,3.0,Criollo,Venezuela
213,Chuao Chocolatier (Pralus),Chuao,486,2010,0.77,U.S.A.,2.75,Trinitario,Venezuela
214,Claudio Corallo,Terreiro Velho P.,470,2010,0.735,Sao Tome,3.75,Forastero,Sao Tome & Principe
215,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,0.8,Sao Tome,3.0,Forastero,Sao Tome & Principe
216,Claudio Corallo,Terreiro Velho P.,227,2008,0.75,Sao Tome,4.0,Forastero,Sao Tome & Principe
217,Claudio Corallo,Principe,252,2008,1.0,Sao Tome,1.0,Forastero,Sao Tome & Principe
218,Coleman & Davis,Sambirano,1646,2015,0.75,U.S.A.,3.0,Trinitario,Madagascar
219,Compania de Chocolate (Salgado),Carenero Superior,292,2008,0.8,Argentina,2.75,Trinitario,Venezuela
220,Compania de Chocolate (Salgado),Ocumare,292,2008,0.7,Argentina,3.75,Criollo,Venezuela
221,Compania de Chocolate (Salgado),Esmeraldas,296,2008,0.88,Argentina,2.75,Forastero (Nacional),Ecuador
222,Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,0.78,U.S.A.,2.75,Trinitario,Vietnam
223,Coppeneur,"Ecuador, Puristique",1169,2013,0.65,Germany,3.25,Forastero (Nacional),Ecuador
224,Coppeneur,Ghana Puristique,813,2012,0.85,Germany,3.5,Forastero,Ghana
225,Coppeneur,Uba Budo,821,2012,0.72,Germany,3.75,Forastero,Sao Tome & Principe
226,Coppeneur,Madagascar,959,2012,0.7,Germany,3.5,Trinitario,Madagascar
227,Coppeneur,Grenada,470,2010,0.72,Germany,3.25,Trinitario,Grenada
228,Coppeneur,Chuao,478,2010,0.7,Germany,3.0,Trinitario,Venezuela
229,Coppeneur,"Los Rios, H. Iara",558,2010,0.72,Germany,2.5,Nacional,Ecuador
230,Coppeneur,Trinidad,558,2010,0.72,Germany,3.0,Trinitario,Trinidad
231,Coppeneur,Jamaica,558,2010,0.72,Germany,3.25,Trinitario,Jamaica
232,Coppeneur,Ocumare 61,558,2010,0.72,Germany,3.25,Criollo (Ocumare 61),Venezuela
233,Coppeneur,"Porcelana, Apotequil",341,2009,0.72,Germany,3.0,Criollo,Peru
234,Coppeneur,"Porcelana, Apotequil",445,2009,0.62,Germany,3.25,Criollo,Peru
235,Coppeneur,Chuao 100hr,451,2009,0.7,Germany,3.5,"Criollo, Trinitario",Venezuela
236,Coppeneur,Chuao 70hr,451,2009,0.7,Germany,3.75,"Criollo, Trinitario",Venezuela
237,Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,0.72,Germany,3.0,Criollo,Mexico
238,Coppeneur,"Porcelana, Venezuela",220,2008,0.72,Germany,3.0,Criollo (Porcelana),Venezuela
239,Coppeneur,"Sambirano, Menava P.",196,2007,0.72,Germany,3.0,Trinitario,Madagascar
240,Cravve,New Ireland,1283,2014,0.7,Australia,2.5,Forastero,Papua New Guinea
241,Cravve,"Vanuatu, batch 2410",1335,2014,0.83,Australia,2.75,Trinitario,Vanuatu
242,Cravve,"Tanzania, batch a1",971,2012,0.75,Australia,3.25,Forastero,Tanzania
243,Cravve,"Bahia, batch a1213",975,2012,0.65,Australia,3.25,Trinitario,Brazil
244,Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,0.67,Australia,3.25,Trinitario,Fiji
245,Cravve,Vanuatu,975,2012,0.64,Australia,3.25,Trinitario,Vanuatu
246,Cravve,Djual Island,975,2012,0.75,Australia,3.5,Forastero,Papua New Guinea
247,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.85,U.S.A.,3.25,Forastero (Nacional),Ecuador
248,Creo,"""heirloom"", Arriba Nacional",1736,2016,0.73,U.S.A.,3.75,Forastero (Nacional),Ecuador
249,Damson,Robson Estate,1610,2015,0.7,U.K.,3.0,Trinitario,Trinidad
250,Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,0.7,U.S.A.,3.0,Trinitario,Belize
251,Dandelion,Maya Mountain,1219,2014,0.7,U.S.A.,3.5,Trinitario,Belize
252,Dandelion,Madagascar,654,2011,0.7,U.S.A.,3.25,Trinitario,Madagascar
253,Danta,Chuao,987,2012,0.75,Guatemala,3.0,Trinitario,Venezuela
254,Danta,Sambirano,987,2012,0.7,Guatemala,3.75,Trinitario,Madagascar
255,Danta,Las Acacias E.,987,2012,0.7,Guatemala,4.0,Criollo,Guatemala
256,Danta,Las Acacias E.,423,2009,0.75,Guatemala,3.0,Criollo,Guatemala
257,Danta,Las Acacias E.,423,2009,0.6,Guatemala,3.25,Criollo,Guatemala
258,DAR,Vietnam,1920,2016,0.72,U.S.A.,3.0,Trinitario,Vietnam
259,Dark Forest,Madagascar,1550,2015,0.7,U.S.A.,3.0,Trinitario,Madagascar
260,Davis,Ghana,1093,2013,0.7,U.S.A.,2.5,Forastero,Ghana
261,Davis,West Africa,907,2012,0.58,U.S.A.,3.25,Forastero,West Africa
262,De Villiers,Bundibugyo District,1832,2016,0.7,South Africa,2.5,Forastero,Uganda
263,Dean and Deluca (Belcolade),Madagascar,170,2007,0.66,U.S.A.,2.5,Trinitario,Madagascar
264,Dean and Deluca (Belcolade),Ghana,175,2007,0.6,U.S.A.,3.0,Forastero,Ghana
265,DeVries,Costa Rica,166,2007,0.77,U.S.A.,3.5,Trinitario,Costa Rica
266,Dick Taylor,Tien Giang,1864,2016,0.78,U.S.A.,3.5,Trinitario,Vietnam
267,Dick Taylor,Belize,955,2012,0.72,U.S.A.,2.75,Trinitario,Belize
268,Dick Taylor,Sambirano,661,2011,0.8,U.S.A.,2.75,Trinitario,Madagascar
269,Dick Taylor,Sambirano,661,2011,0.72,U.S.A.,3.0,Trinitario,Madagascar
270,Dick Taylor,Mantuano,682,2011,0.75,U.S.A.,2.75,Criollo,Venezuela
271,Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,0.72,U.K.,3.25,Trinitario,Venezuela
272,Doble & Bignall,Johe,1407,2014,0.72,U.K.,3.5,"Criollo, Trinitario",Nicaragua
273,Dolfin (Belcolade),Africa,304,2008,0.88,Belgium,3.0,Forastero,West Africa
274,Domori,Ocumare 77,1672,2015,0.7,Italy,3.75,Criollo (Ocumare 77),Venezuela
